genre,sentence1_id,sentence2_id,filename,year,id,score,sentence1,sentence2,url1,url2,dev_train_or_test
main-captions,441,442,MSRvid,2012test,261,1.4,A man plays a guitar.,A man plays the piano.,,,dev
main-captions,451,452,MSRvid,2012test,264,0.25,A woman is slicing a meat.,A woman is singing on stage.,,,dev
main-captions,461,462,MSRvid,2012test,265,0.25,A woman is taking a picture.,A man is playing a guitar.,,,dev
main-captions,471,472,MSRvid,2012test,280,0.0,The man is riding a horse.,A woman is using a hoe.,,,dev
main-captions,481,482,MSRvid,2012test,286,4.0,A man is drilling a hole in a board.,Someone is drilling a hole in a piece of wood.,,,dev
main-captions,491,492,MSRvid,2012test,289,4.5,A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.,,,dev
main-captions,501,502,MSRvid,2012test,301,0.5,Two little girls are talking on the phone.,A little girl is walking down the street.,,,dev
main-captions,511,512,MSRvid,2012test,305,3.8,Someone is stirring chili in a kettle.,Someone is stirring a pot of chili with a spoon.,,,dev
main-captions,521,522,MSRvid,2012test,306,4.8,The woman is cracking eggs into a bowl.,The lady broke raw eggs into a bowl.,,,dev
main-captions,531,532,MSRvid,2012test,315,5.0,A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,,,dev
main-captions,541,542,MSRvid,2012test,324,0.25,A man is talking on a phone.,A man is singing to a woman.,,,dev
main-captions,551,552,MSRvid,2012test,338,1.2,A man is playing an electronic keyboard.,A man is playing a flute.,,,dev
main-captions,561,562,MSRvid,2012test,340,0.6,A man is playing a guitar.,A man is eating a banana.,,,dev
main-captions,571,572,MSRvid,2012test,345,0.8,A man is jumping into water.,A man is cutting paper.,,,dev
main-captions,581,582,MSRvid,2012test,354,3.8,A man is playing a guitar.,A guy is playing an instrument.,,,dev
main-captions,591,592,MSRvid,2012test,362,0.0,A young man is playing the piano.,A woman is peeling a prawn.,,,dev
main-captions,601,602,MSRvid,2012test,364,3.5,A woman is mixing ingrediants.,A woman is mixing food in a bowl.,,,dev
main-captions,611,612,MSRvid,2012test,367,4.5,Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.,,,dev
main-captions,621,622,MSRvid,2012test,372,2.8,A slow lori walks around.,A animal is walking around.,,,dev
main-captions,631,632,MSRvid,2012test,375,3.8,A little boy is vacuuming the floor.,A boy is vacuuming.,,,dev
main-captions,641,642,MSRvid,2012test,381,3.8,A woman is applying eye liner to her eyelid using an eye pencil.,A woman is applying cosmetics to her eyelid.,,,dev
main-captions,651,652,MSRvid,2012test,387,0.0,A man is making a bed.,A woman is playing a guitar.,,,dev
main-captions,661,662,MSRvid,2012test,392,4.0,A man plays a keyboard.,A person is playing the keyboard.,,,dev
main-captions,671,672,MSRvid,2012test,404,4.25,A rabbit is playing with a toy rabbit.,A bunny is playing with a stuffed bunny.,,,dev
main-captions,681,682,MSRvid,2012test,405,2.812,A plane rides on a road.,An airplane moves along a runway.,,,dev
main-captions,691,692,MSRvid,2012test,419,4.25,A man shoots a man.,A man with a pistol shoots another man.,,,dev
main-captions,701,702,MSRvid,2012test,420,3.0,A man plays the guitar.,The man sang and played his guitar.,,,dev
main-captions,711,712,MSRvid,2012test,424,1.0,A guy is playing hackysack,A man is playing a key-board.,,,dev
main-captions,721,722,MSRvid,2012test,426,3.75,One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.,,,dev
main-captions,731,732,MSRvid,2012test,431,0.0,A man is talking with other women on the beach.,A man is walking down the street.,,,dev
main-captions,741,742,MSRvid,2012test,434,0.4,The woman is dicing onions.,A woman is dancing in railway station.,,,dev
main-captions,751,752,MSRvid,2012test,446,4.0,A chef is preparing some food.,A chef prepared a meal.,,,dev
main-captions,761,762,MSRvid,2012test,451,2.8,The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,,,dev
main-captions,771,772,MSRvid,2012test,453,3.75,A turtle walks over the ground.,A large turtle crawls in the grass.,,,dev
main-captions,781,782,MSRvid,2012test,454,1.154,The lady cracked an egg for the mixer.,The lady sliced up the meat.,,,dev
main-captions,791,792,MSRvid,2012test,462,2.75,Five kittens are eating out of five dishes.,Kittens are eating food on trays.,,,dev
main-captions,801,802,MSRvid,2012test,464,2.8,A woman is slicing some tuna.,A woman is cutting raw fish.,,,dev
main-captions,811,812,MSRvid,2012test,468,0.0,A man playing the guitar.,A woman is painting her lips.,,,dev
main-captions,821,822,MSRvid,2012test,473,0.0,A man is playing a flute.,A dog is barking at a fly.,,,dev
main-captions,831,832,MSRvid,2012test,478,3.4,A baby rhino is walking around his pen with his mother.,A baby rhino is following an adult rhino.,,,dev
main-captions,841,842,MSRvid,2012test,488,5.0,The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.,,,dev
main-captions,851,852,MSRvid,2012test,495,0.8,A man is cleaning a fish on a kitchen counter.,A man is playing a flute.,,,dev
main-captions,861,862,MSRvid,2012test,504,2.25,A person is chopping coriander leaves.,A woman is slicing up some green leaves.,,,dev
main-captions,871,872,MSRvid,2012test,506,2.75,A man is pressing microwave buttons.,A man turns on the microwave.,,,dev
main-captions,881,882,MSRvid,2012test,507,4.5,A girl is riding a horse.,The girl trotted the horse.,,,dev
main-captions,891,892,MSRvid,2012test,514,2.6,Batman and Robin fly a helicopter over water.,A helicopter flies over water.,,,dev
main-captions,901,902,MSRvid,2012test,518,3.8,A woman pours oil into a skillet from a plastic bottle while she is talking.,An older woman is pouring oil into a skillet on the stove.,,,dev
main-captions,911,912,MSRvid,2012test,524,2.8,A woman is cutting some herbs.,A woman is chopping cilantro.,,,dev
main-captions,921,922,MSRvid,2012test,532,1.6,The lady put the skewered shimp in the hot water.,The lady fried the breaded meat in hot oil.,,,dev
main-captions,931,932,MSRvid,2012test,538,0.0,A woman is riding on a horse.,A man is shooting off guns.,,,dev
main-captions,941,942,MSRvid,2012test,539,1.333,The boy is playing the piano.,A band is playing on stage.,,,dev
main-captions,951,952,MSRvid,2012test,541,2.6,The cook is kneading the flour.,A woman is kneading tortilla dough.,,,dev
main-captions,961,962,MSRvid,2012test,550,0.6,A woman is riding a horse along a perimeter.,A dog is riding a skateboard.,,,dev
main-captions,971,972,MSRvid,2012test,551,0.0,A woman is putting her baby in a waste bin.,The woman is poking holes in the potato.,,,dev
main-captions,981,982,MSRvid,2012test,560,0.0,A cat is pouncing on a trampoline.,A man is slicing a tomato.,,,dev
main-captions,991,992,MSRvid,2012test,565,3.0,A man and woman are eating at a table.,A couple are eating a meal and talking.,,,dev
main-captions,1001,1002,MSRvid,2012test,567,0.0,A woman is riding on a horse.,A man is turning over tables in anger.,,,dev
main-captions,1011,1012,MSRvid,2012test,568,0.2,A man is screwing wood to a wall.,A man is giving a woman a massage.,,,dev
main-captions,1021,1022,MSRvid,2012test,569,3.2,A girl is playing a flute.,A girl plays a wind instrument.,,,dev
main-captions,1031,1032,MSRvid,2012test,573,2.0,A small baby is playing a guitar.,"A boy sits on a bed, sings and plays a guitar.",,,dev
main-captions,1041,1042,MSRvid,2012test,575,0.0,A woman is chopping onion.,A man is doing a card trick.,,,dev
main-captions,1051,1052,MSRvid,2012test,577,3.0,A man and a woman walk through the woods.,The man and woman are walking.,,,dev
main-captions,1061,1062,MSRvid,2012test,578,3.091,A child is playing a computer game.,A boy is playing a game on a laptop.,,,dev
main-captions,1071,1072,MSRvid,2012test,580,2.75,Men are jumping into water from a bridge.,Men jump in a river.,,,dev
main-captions,1081,1082,MSRvid,2012test,607,1.2,A woman is peeling some fish.,A woman is pouring a yellow mixture on a frying pan.,,,dev
main-captions,1091,1092,MSRvid,2012test,610,0.5,People are playing baseball.,The cricket player hit the ball.,,,dev
main-captions,1101,1102,MSRvid,2012test,611,0.25,A person is boiling soup.,A woman is placing eggs into a pan.,,,dev
main-captions,1111,1112,MSRvid,2012test,640,0.0,A woman is dancing.,A man breaks a stick.,,,dev
main-captions,1121,1122,MSRvid,2012test,644,0.0,A ballet dancer is performing on stage.,The beaver is being petted.,,,dev
main-captions,1131,1132,MSRvid,2012test,652,0.5,A man shoots a basket.,A man is playing a guitar.,,,dev
main-captions,1141,1142,MSRvid,2012test,653,0.0,The elephants are bathing.,Two women are singing.,,,dev
main-captions,1151,1152,MSRvid,2012test,660,0.6,The man cut up an onion.,A man is dancing.,,,dev
main-captions,1161,1162,MSRvid,2012test,669,4.0,A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,,,dev
main-captions,1171,1172,MSRvid,2012test,673,3.4,A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.,,,dev
main-captions,1181,1182,MSRvid,2012test,682,0.0,A girl is dancing in a cage.,A onion is being chopped.,,,dev
main-captions,1191,1192,MSRvid,2012test,686,0.0,A cat is on a robot.,A man is eating bread.,,,dev
main-captions,1201,1202,MSRvid,2012test,697,1.0,The lady stirred up raw eggs in the bowl.,A woman is pouring eyes into a bowl.,,,dev
main-captions,1211,1212,MSRvid,2012test,704,0.0,A cow is eating grass.,A dog is pulling a girl down a hill.,,,dev
main-captions,1221,1222,MSRvid,2012test,709,2.4,The man stirred the sauce for the chicken.,The man is stirring oil.,,,dev
main-captions,1231,1232,MSRvid,2012test,716,0.4,A man jumping rope,A man is talking.,,,dev
main-captions,1241,1242,MSRvid,2012test,717,1.8,A woman is peeling an orange.,A woman cuts off a small piece of lemon rind.,,,dev
main-captions,1251,1252,MSRvid,2012test,723,2.5,Someone is beating an egg.,A woman stirs eggs in a bowl.,,,dev
main-captions,1261,1262,MSRvid,2012test,725,0.083,A man is cutting a potato.,A woman plays an electric guitar.,,,dev
main-captions,1271,1272,MSRvid,2012test,729,0.0,A man is buttering a piece of bread.,A slow loris hanging on a cord.,,,dev
main-captions,1281,1282,MSRvid,2012test,732,1.0,A woman cuts up some vegetables.,A woman is placing skewered food onto a cooker.,,,dev
main-captions,1291,1292,MSRvid,2012test,737,4.5,The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.,,,dev
main-captions,1301,1302,MSRvid,2012test,743,0.0,A man plays an acoustic guitar.,A woman and dog are walking together.,,,dev
main-captions,1311,1312,MSRvid,2012train,5,3.6,A person is peeling shrimp.,A person is preparing shrimp.,,,dev
main-captions,1321,1322,MSRvid,2012train,6,5.0,A woman is cutting broccoli.,A woman is slicing broccoli.,,,dev
main-captions,1331,1332,MSRvid,2012train,12,5.0,A small dog laying on the bed.,A small dog is laying on a bed.,,,dev
main-captions,1341,1342,MSRvid,2012train,16,5.0,The man is slicing a potato.,A man is slicing potato.,,,dev
main-captions,1351,1352,MSRvid,2012train,18,5.0,The man is slicing a potato.,A man is slicing potato.,,,dev
main-captions,1361,1362,MSRvid,2012train,42,3.8,A person is peeling shrimp.,A man is peeling shrimp.,,,dev
main-captions,1371,1372,MSRvid,2012train,62,5.0,A woman is putting on sun glasses.,A woman puts on sunglasses.,,,dev
main-captions,1381,1382,MSRvid,2012train,66,2.5,A woman is slicing a potato.,A woman is slicing carrot.,,,dev
main-captions,1391,1392,MSRvid,2012train,68,3.824,Women are running.,Two women are running.,,,dev
main-captions,1401,1402,MSRvid,2012train,75,1.6,A man is playing a harp.,A woman is playing a guitar.,,,dev
main-captions,1411,1412,MSRvid,2012train,76,5.0,A man dives into a pool.,A man dives into a swimming pool.,,,dev
main-captions,1421,1422,MSRvid,2012train,78,5.0,The man is smashing garlic.,A man is smashing some garlic.,,,dev
main-captions,1431,1432,MSRvid,2012train,79,2.375,A man is cutting up a potato.,A man is cutting up carrots.,,,dev
main-captions,1441,1442,MSRvid,2012train,97,5.0,A man is slicing an onion.,A man slices an onion.,,,dev
main-captions,1451,1452,MSRvid,2012train,124,1.25,A man is dancing.,A man is singing.,,,dev
main-captions,1461,1462,MSRvid,2012train,125,1.25,A man is running.,A man is singing.,,,dev
main-captions,1471,1472,MSRvid,2012train,134,3.0,The man is hiking in the woods.,A man is tracking in the wood.,,,dev
main-captions,1481,1482,MSRvid,2012train,137,2.167,A man is playing a flute.,A man is playing guitar.,,,dev
main-captions,1491,1492,MSRvid,2012train,138,1.4,A man is riding a bike.,A woman is riding a horse.,,,dev
main-captions,1501,1502,MSRvid,2012train,145,4.0,A woman is playing the guitar.,A person is playing a guitar.,,,dev
main-captions,1511,1512,MSRvid,2012train,161,3.6,A man is eating a pizza.,A man is eating a food.,,,dev
main-captions,1521,1522,MSRvid,2012train,175,4.857,A man is playing guitar.,A man plays a guitar.,,,dev
main-captions,1531,1532,MSRvid,2012train,181,0.4,The man is buttering the bread.,The man is stirring the rice.,,,dev
main-captions,1541,1542,MSRvid,2012train,182,0.2,A woman is hitting a man.,A woman is taking a bath.,,,dev
main-captions,1551,1552,MSRvid,2012train,185,1.3,Three men are dancing.,Women are dancing.,,,dev
main-captions,1561,1562,MSRvid,2012train,186,1.2,A man is speaking.,A man is dancing.,,,dev
main-captions,1571,1572,MSRvid,2012train,187,1.2,A man is dancing.,A man is speaking.,,,dev
main-captions,1581,1582,MSRvid,2012train,194,4.4,A person is combing a cat hair.,A person is brushing a cat.,,,dev
main-captions,1591,1592,MSRvid,2012train,206,1.8,A man is playing the drums.,A man is playing guitar.,,,dev
main-captions,1601,1602,MSRvid,2012train,212,1.4,A man is peeling a banana.,A woman is peeling a potato.,,,dev
main-captions,1611,1612,MSRvid,2012train,215,0.4,A boy is riding a horse.,A monkey is riding a bus.,,,dev
main-captions,1621,1622,MSRvid,2012train,216,4.4,The puppy tried to get out of the tub.,A puppy is trying to get out of a bathtub.,,,dev
main-captions,1631,1632,MSRvid,2012train,262,3.25,A woman is peeling an onion.,The woman is slicing green onions.,,,dev
main-captions,1641,1642,MSRvid,2012train,263,0.778,A person is mixing a pot of rice.,A person is peeling a potato.,,,dev
main-captions,1651,1652,MSRvid,2012train,274,2.25,A man is playing a guitar.,The girl is playing the guitar.,,,dev
main-captions,1661,1662,MSRvid,2012train,276,2.75,A lion cub tries to climb a fence.,A lion tries to climb over a wall.,,,dev
main-captions,1671,1672,MSRvid,2012train,277,2.0,A man is talking on a cell phone.,A guy is talking into a microphone.,,,dev
main-captions,1681,1682,MSRvid,2012train,278,0.833,A man is playing a guitar.,A man is cleaning a cd.,,,dev
main-captions,1691,1692,MSRvid,2012train,285,3.75,Someone is pouring chicken broth into a pot.,The man is pouring broth into the pot.,,,dev
main-captions,1701,1702,MSRvid,2012train,303,1.8,A woman is chopping an onion.,A woman is chopping garlic with a knife.,,,dev
main-captions,1711,1712,MSRvid,2012train,317,4.333,The man is shaking hands with other men.,A man is shaking another mans hand.,,,dev
main-captions,1721,1722,MSRvid,2012train,318,4.214,A target is being hit with gun fire.,The target was being shot with bullets.,,,dev
main-captions,1731,1732,MSRvid,2012train,330,0.0,A woman is applying makeup.,A man is playing a guitar.,,,dev
main-captions,1741,1742,MSRvid,2012train,332,3.4,A woman is slicing a big pepper.,A person is cutting a green pepper.,,,dev
main-captions,1751,1752,MSRvid,2012train,336,4.2,A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.,,,dev
main-captions,1761,1762,MSRvid,2012train,340,0.8,A man is staring at a leaf.,A man is slicing a vegetable.,,,dev
main-captions,1771,1772,MSRvid,2012train,346,4.2,A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.,,,dev
main-captions,1781,1782,MSRvid,2012train,352,2.75,A person drops a camera down an escelator.,A man tosses a bag down an escalator.,,,dev
main-captions,1791,1792,MSRvid,2012train,376,2.2,The man is playing the keyboards.,A man is playing guitar.,,,dev
main-captions,1801,1802,MSRvid,2012train,377,1.2,A woman is applying eye shadow.,A woman is washing a bowl.,,,dev
main-captions,1811,1812,MSRvid,2012train,379,1.0,A woman is playing the flute.,A man is playing a keyboard.,,,dev
main-captions,1821,1822,MSRvid,2012train,380,1.533,A man is riding on a horse.,A woman is riding an elephant.,,,dev
main-captions,1831,1832,MSRvid,2012train,385,0.2,A man is playing flute.,A man is dancing.,,,dev
main-captions,1841,1842,MSRvid,2012train,388,3.0,A tiger is walking around his cage.,A tiger walks around aimlessly.,,,dev
main-captions,1851,1852,MSRvid,2012train,389,3.8,A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,,,dev
main-captions,1861,1862,MSRvid,2012train,390,0.75,A woman is cutting potato.,A woman is riding a horse.,,,dev
main-captions,1871,1872,MSRvid,2012train,393,3.0,A parrot is talking.,A parrot is talking into a microphone.,,,dev
main-captions,1881,1882,MSRvid,2012train,396,0.4,A man is singing into a microphone.,A man is dancing in the rain.,,,dev
main-captions,1891,1892,MSRvid,2012train,403,3.4,A woman is exercising.,A woman lifts weights.,,,dev
main-captions,1901,1902,MSRvid,2012train,405,3.8,A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.,,,dev
main-captions,1911,1912,MSRvid,2012train,407,1.4,A man is playing the piano.,A man is playing a wooden flute.,,,dev
main-captions,1921,1922,MSRvid,2012train,408,3.4,A guy is riding a horse.,A man is riding a horse in the desert.,,,dev
main-captions,1931,1932,MSRvid,2012train,412,3.2,A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.,,,dev
main-captions,1941,1942,MSRvid,2012train,414,2.333,A person uses a blowtorch on two cameras.,A person is burning cameras.,,,dev
main-captions,1951,1952,MSRvid,2012train,422,0.8,A man is putting a knife in a vice.,A man is getting into a car in a garage.,,,dev
main-captions,1961,1962,MSRvid,2012train,427,0.0,A woman is cooking meat.,A man is speaking.,,,dev
main-captions,1971,1972,MSRvid,2012train,431,3.0,A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,,,dev
main-captions,1981,1982,MSRvid,2012train,436,3.75,A person is folding a square paper piece.,A person folds a piece of paper.,,,dev
main-captions,1991,1992,MSRvid,2012train,441,0.0,The boy is playing the piano.,The woman is pouring oil into the pan.,,,dev
main-captions,2001,2002,MSRvid,2012train,448,0.0,A man is cutting a potato.,A woman is climbing a rock wall.,,,dev
main-captions,2011,2012,MSRvid,2012train,449,0.0,A woman is feeding a baby.,A man is adding water to pan.,,,dev
main-captions,2021,2022,MSRvid,2012train,450,0.5,A man is playing a guitar.,A woman is riding a horse.,,,dev
main-captions,2031,2032,MSRvid,2012train,453,0.5,A woman is mixing eggs.,The woman is eating.,,,dev
main-captions,2041,2042,MSRvid,2012train,464,0.4,A man is riding on a boat.,A man is tying in the machine.,,,dev
main-captions,2051,2052,MSRvid,2012train,474,0.75,A man is serving cake.,A man seasoning quail.,,,dev
main-captions,2061,2062,MSRvid,2012train,476,2.5,Someone is greating a carrot.,A woman is grating an orange food.,,,dev
main-captions,2071,2072,MSRvid,2012train,484,1.8,A man is standing on a roof top playing a violin.,A man is on a roof dancing.,,,dev
main-captions,2081,2082,MSRvid,2012train,494,2.5,A monkey is karate kicking a person.,A monkey pratices martial arts.,,,dev
main-captions,2091,2092,MSRvid,2012train,506,0.5,A man shappens a knife.,A man carries a women.,,,dev
main-captions,2101,2102,MSRvid,2012train,511,0.4,A woman is brushing her feet.,A woman is chopping an onion.,,,dev
main-captions,2111,2112,MSRvid,2012train,522,1.2,A woman is removing skin from some meat.,A woman is slicing a tomato.,,,dev
main-captions,2121,2122,MSRvid,2012train,528,2.75,A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.,,,dev
main-captions,2131,2132,MSRvid,2012train,533,0.4,A woman is relaxing in a bath tub.,A woman is stabbing a potato with a fork.,,,dev
main-captions,2141,2142,MSRvid,2012train,534,0.6,A woman is adding oil on fishes.,The woman is cutting potatoes.,,,dev
main-captions,2151,2152,MSRvid,2012train,535,0.8,A woman is writing something.,A woman is chopping green onions.,,,dev
main-captions,2161,2162,MSRvid,2012train,539,3.0,A baby eats his food.,A baby is being fed peas.,,,dev
main-captions,2171,2172,MSRvid,2012train,540,0.4,A man is slicing a carrot by a machine.,A man is standing in the rain.,,,dev
main-captions,2181,2182,MSRvid,2012train,548,3.2,A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,,,dev
main-captions,2191,2192,MSRvid,2012train,552,1.25,A boy is playing a piano.,A man is singing and playing a guitar.,,,dev
main-captions,2201,2202,MSRvid,2012train,555,5.0,The person is starting a fire.,A person makes fire.,,,dev
main-captions,2211,2212,MSRvid,2012train,579,0.2,A woman is riding a horse on the beach.,A woman is washing a bowl.,,,dev
main-captions,2221,2222,MSRvid,2012train,580,3.0,A person is chopping an herb.,A man is finely chopping a green substance.,,,dev
main-captions,2231,2232,MSRvid,2012train,582,1.4,A woman is collecting tap water in a mug.,A boy is filling a pitcher with water.,,,dev
main-captions,2241,2242,MSRvid,2012train,585,3.8,A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.,,,dev
main-captions,2251,2252,MSRvid,2012train,591,2.75,The dog could not figure out how to get a stick out the doggy door.,A dog is trying to get through his dog door.,,,dev
main-captions,2261,2262,MSRvid,2012train,593,0.0,A woman is mixing eggs in the bowl.,A man is doing push ups.,,,dev
main-captions,2271,2272,MSRvid,2012train,608,2.8,The lady made some slices on the shrimp.,A chef is slicing a shrimp.,,,dev
main-captions,2281,2282,MSRvid,2012train,617,0.0,Someone is mixing a liquid.,A man is playing a guitar.,,,dev
main-captions,2291,2292,MSRvid,2012train,634,0.0,A woman is slicing big pepper.,A man is playing an instrument.,,,dev
main-captions,2301,2302,MSRvid,2012train,643,2.6,The animal with the big eyes is eating.,A slow loris is eating.,,,dev
main-captions,2311,2312,MSRvid,2012train,645,0.1,A baby is crawling happily.,A cat is walking on hardwood floor.,,,dev
main-captions,2321,2322,MSRvid,2012train,648,0.0,A tiger club is playing with a ball.,A person is chopping shrimp with a knife.,,,dev
main-captions,2331,2332,MSRvid,2012train,653,2.0,A woman is slicing fruit.,Two women are slicing some lemons.,,,dev
main-captions,2341,2342,MSRvid,2012train,655,3.75,The flag was moving in the air.,A flag is waving.,,,dev
main-captions,2351,2352,MSRvid,2012train,664,3.1,The baby laughed in his car seat.,A baby is laughing.,,,dev
main-captions,2361,2362,MSRvid,2012train,669,2.692,A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.,,,dev
main-captions,2371,2372,MSRvid,2012train,674,4.429,The bird is taking a bath under the faucet.,A bird is bathing in a sink.,,,dev
main-captions,2381,2382,MSRvid,2012train,675,5.0,A man plays the guitar and sings.,A man is singing and playing a guitar.,,,dev
main-captions,2391,2392,MSRvid,2012train,684,0.0,Women are holding each other and dancing together.,Two men are playing table tennis.,,,dev
main-captions,2401,2402,MSRvid,2012train,690,0.8,The man is trying to feed the snake with a mouse.,A man is working on his laptop.,,,dev
main-captions,2411,2412,MSRvid,2012train,707,1.333,A tiger is playing with his trainer.,A tiger attacks a man.,,,dev
main-captions,2421,2422,MSRvid,2012train,716,0.0,A cat is playing with a watermelon on a floor.,A man is pouring oil into a pan.,,,dev
main-captions,2431,2432,MSRvid,2012train,718,0.6,A cat retrieves an object out of a dish of water.,The cat tried to eat the corn on the cob.,,,dev
main-captions,2441,2442,MSRvid,2012train,721,0.0,A chef is slicing carrot.,A person is drawing a picture.,,,dev
main-captions,2451,2452,MSRvid,2012train,733,0.0,A woman is adding some mushrooms and liquid to a pot.,A young man is playing the guitar.,,,dev
