id,sentence
2971,A doubly decker red bus driving down the road.
2981,The black bird is sitting on the ground.
2991,A Das Air Cargo plane sits on the runway.
3001,A cat sleeps on purple sheet.
3011,A close-up of a cat on a cream sofa.
3021,A kitchen with wood cabinets and dining table.
3031,A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.
3041,Two boys sit facing one another at a table and one points at the other.
3051,Two white dogs are swimming in the water.
3061,Large white cruise ship floating on water.
3071,Two bald eagles perched on a branch.
3081,A backpack standing beside a train.
3091,The bird is sitting on the branch.
3101,A group of peoples posing in fur hats.
3111,Black domestic cat lying on brown table.
3121,Four children looking at barn animals.
3131,A black and white cat playing with a wool basket.
3141,Two men on boat floating on the water.
3151,A man doing a wheelie on a mountain bike.
3161,A woman equestrian riding a horse.
3171,Train going down the tracks.
3181,A white plane on the runway.
3191,The white ducks are standing on the ground.
3201,A group of people eat at a table outside.
3211,Young baby girl sitting on table.
3221,Two cats are close together inside and black and white furry enclosure.
3231,A group of people sitting on a small sofa next to a kitchen.
3241,A man jumping his dirt bike.
3251,A black and white photo of a bottle sitting atop a rock carving in front of a line of bushes.
3261,A black and white cat is sitting on a brown chair looking up.
3271,A black and white horned cow standing in a field.
3281,"A long-haired man with a hat standing between two large, half-empty Coke bottles."
3291,An AeroMexico jet taxing along a runway.
3301,A red bird and four other birds sitting in the snow.
3311,An older Asian couple poses with a newborn baby at the dinner table.
3321,Domestic cat looking out window.
3331,Two cows graze in a field.
3341,A person is standing underneath an overpass near a highway.
3351,A woman and child push strollers down the sidewalk.
3361,A white bird flying up onto a tree.
3371,"A woman at the dining table with wine, beer, and lemons."
3381,A laptop computer and a computer monitor.
3391,A white cat laying on an office chair.
3401,A small yellow boat sitting on a tropical beach.
3411,Two women are sheering a white sheep inside of a wooden building.
3421,A man with glasses and two plastic bottles in the foreground.
3431,A close-up of a brown horse.
3441,An office with multiple desks and green walls.
3451,A woman leading a white horse.
3461,A man on a motorcycle performing a wheelie.
3471,Left side of a silver train engine.
3481,Blue couch and twin bed in a living room.
3491,A white bicycle stands on a floor.
3501,A bird eating from a bird feeder.
3511,Black bird sitting on a concrete slab.
3521,Dark colored dog standing in grassy field.
3531,A young blonde girl wearing a smile and a bicycle helmet.
3541,Two brown horses standing in grassy field.
3551,Boy lying on couch with small white dog.
3561,A woman is laying down on the floor and holding a baby up above her.
3571,A grey house with a red door.
3581,A woman with a white horse.
3591,Depressed woman sitting on couch.
3601,An elderly woman catches a ride on the back of the bicycle.
3611,The brown and white cows are eating in the trough.
3621,"A young woman with outstretched arms stands in front of a ""Going Places"" bus."
3631,Black and white cow standing in grassy field.
3641,A group of people having a meal outside.
3651,Two cats sitting together on the sofa looking out the window.
3661,A man sitting on a bench looking at a dog on a leash sitting on sidewalk.
3671,A blue scooter parked on a sidewalk.
3681,Two gray dogs run together over the green grass.
3691,Two dogs are running in a grassy field
3701,The couple is sitting near the water in lawn chairs.
3711,German Shephard jumping through black hoop while people watch
3721,A group of people standing in the street
3731,A dog runs on brown grass.
3741,The man and two young boys jump on a trampoline.
3751,"A man eating an apple, sitting in public."
3761,two young girls hug each other in the grass.
3771,Two white dogs are walking through deep white snow.
3781,Four girls in swimsuits are playing volleyball at the beach.
3791,Kids playing ball in the park.
3801,A man in a dress suit is riding a bike down the paved road.
3811,A black and white dog is running in a grassy garden surrounded by a white fence.
3821,The group of hikers is resting in front of a mountain.
3831,Two girls in blue and teal dresses and large hats are standing next to a large tree trunk.
3841,A woman is sitting up asleep with her head resting on her hand.
3851,A young boy jumping into a lake.
3861,A black dog is chasing two birds on the shore of the ocean.
3871,A man and a woman on a bench.
3881,The brown dog is laying down on a blue sheet.
3891,Two dogs fighting in the snow.
3901,The man and two young boys jump on a trampoline.
3911,A man practicing boxing
3921,The girl with the blue bucket splashes beneath the pier.
3931,A group of people stand in the sand looking out at the water.
3941,A black dog is running after a white dog in the snow.
3951,A small white dog running across a lawn.
3961,The white and brown dog is running quickly through the grass.
3971,A black dog is running in the grass.
3981,A black and white dog swimming in clear water.
3991,Black and white dog running through water.
4001,two dogs running in the snow
4011,A golden dog is running through the snow.
4021,A skateboarder on a city street.
4031,A girl bounces in a bounce house.
4041,A brown and white dog is catching a tennis ball while standing on its hind legs.
4051,a wet black dog with a red collar is in the river
4061,Two people are walking by the ocean.
4071,Two little girls in pink are dancing.
4081,A woman in jeans plays a video game in front of a large screen.
4091,Two people walking along the shore at sunset.
4101,A black dog is running through the snow.
4111,A woman in a pink bikini is laying on a deck lounge chair that is covered with a pink towel.
4121,Three people stand in an outdoor glass structure.
4131,A group of people are at a convention waving American flags.
4141,A boy skateboards down the railing of some graffiti stairs
4151,A white dog is running through the water at a beach
4161,A man and woman blow bubbles.
4171,a skateboard performs a trick off a quarter pipe.
4181,A woman and a man are amused by headphones.
4191,Two girls walking in the ocean.
4201,Boat sails in rough water.
4211,Three dogs are playing in the white snow.
4221,A man in red swim trunks playing volleyball.
4231,Two people in snowsuits laying in the snow making snow angels
4241,A little blonde girl is standing in front of a water fountain.
4251,A boy riding on a swing.
4261,A black dog running through the snow.
4271,A black dog walking beside a pool.
4281,The man is wearing a black shirt and hat and smiling.
4291,A man and a woman are riding bikes on a street.
4301,Two dogs in the snow
4311,Three dogs playing in the snow.
4321,The boy in the orange shirt is throwing the ball.
4331,Several people are sitting around a fire at night.
4341,Two dogs fighting in the snow.
4351,A group of people are in the water.
4361,Two dogs are sniffing something in the rocks.
4371,A black dog lays in the sand.
4381,A man dressed in black wearing a hat and glasses in front of a red wall.
4391,A man helps a boy ride a bike.
4401,The two dogs are playing fetch in the snow.
4411,Two dogs are playing on the beach together.
4421,Two tan and white dogs and one tan dog racing down the beach near the water.
4431,A man is riding a bicycle on a dirt path.
4441,A seated young woman in a hat is reading at a coffee shop.
4451,A black and white dog is running through the grass.
4461,A woman stands with her arms out at her sides while another takes a picture.
4471,"Many people are on the beach, near a building with flags flying."
4481,Black and white dog running through water.
4491,"Three clowns in bright, multi-colored costumes."
4501,Two beige dogs play in the grass.
4511,A dog and a red ball in the air.
4521,A dog jogs through the grass.
4531,Group of little girls and a dog standing on the road.
4541,A man in a grey suit kneels in front of a woman in a white dress.
4551,A brown and white dog with a pink Frisbee in it's mouth is humping over a man's back.
4561,A dog and cat laying down together.
4571,A family is playing on the beach with their dog.
4581,a dog runs through the long grass.
4591,A group of people are camping out on some rocks.
4601,There is a black dog jumping into a swimming pool.
4611,Three dogs playing in the snow while one dog wears a jacket.
4621,A group of people in boats racing towards the shore.
4631,"A crowd of people stand on a rural road, a field behind them, a forest in front."
4641,A Japanese swordsman jumps into the air.
4651,A man wearing US flag boxer shorts is standing on a stairway.
4661,A group of seven people are rafting in the rapids in a green boat.
4671,A man with long hair is looking through a camera.
4681,The black and brown dog is playing in the yard.
4691,A boy is jumping into the water with a ball in his hand.
4701,A person wearing scuba gear is swimming underwater water.
4711,This dog is jumping through the water.
4721,a young girl smiling with her head upside down
4731,Two women holding checkered flags near an orange car.
4741,A hockey player looks intently downward.
4751,Two brown dogs chase each other in the snow.
4761,Children are playing on a trampoline in the snow.
4771,A dog with a stick follows another dog through the water.
4781,A black and brown dog is chewing on a large stick.
4791,Two black dogs playing in the grass.
4801,Two boys are jumping into a pool.
4811,A group of men walk and hang onto ropes.
4821,A black person in black and red is sleeping on a bench with an open black umbrella.
4831,A man with a grey beard rides his bike on the beach of the ocean.
4841,A Golden Retriever jumping off a wood porch.
4851,A man is skating down a set of stairs.
4861,A lady with a yellow outfit is in the air above the bed in a yellow room.
4871,A skier is jumping in the air over a snowfield near a mountain range.
4881,The dogs are playing in the snow.
4891,A young boy in red swim trunks is jumping into a pool.
4901,Two dogs are running on the grass in front of the trees.
4911,a young boy climbing on a rock wall
4921,A skateboarder jumps off the stairs.
4931,Two dogs running together and one has a duck toy in its mouth.
4941,The black and white dog is running on the grass.
4951,A woman runs on the beach.
4961,A golden colored dog jumps around in the grass while holding a stick in its mouth.
4971,A white dog is playing with a ball on the beach.
4981,Woman in black dress with red accessories is walking down the street.
4991,Two dogs approach each other in the grass.
5001,Our current vehicles will be in museums when everyone has their own aircraft.
5011,A woman supervisor is instructing the male workers.
5021,The sky has very little to no clouds.
5031,The young boy jumps barefoot outside in the front yard.
5041,There are dogs in the forest.
5051,Some cyclists stop near a sign.
5061,These cooks in the white are busy in the kitchen making dinner for their customers.
5071,A man is carrying a canoe with a dog.
5081,a woman watches a rap group live
5091,A girl dancing on a sandy beach.
5101,The woman is drinking lemonade and watching T.V.
5111,The young adult are cold
5121,A sad man is jumping over a small stream to meet his companion on the other side.
5131,A woman is bungee jumping.
5141,A clown performs for brother and sister as the rest of the party watches.
5151,Four girls happily walk down a sidewalk.
5161,a group of navy seals are singing
5171,A man playing the violin in the rain.
5181,The people are leaving the airplane.
5191,The dogs are chasing a cat.
5201,the tan dog is playing with the red dog out in the snow
5211,a girl with vases in the background inside her house
5221,A person sitting in an office takes a picture.
5231,People rock jumping into water while people fish in the background.
5241,A blonde woman looks for medical supplies for work in a suitcase.
5251,A boy is at school taking a test.
5261,An old man wearing a hat stands outside a shop door.
5271,The carriage is drawn by a horse.
5281,A woman looks at a duck as she walks behind it.
5291,Man sitting on a bench drink from a mug surrounded by rugs.
5301,A small blond boy slides head first down a blue playground slide toward another blond youth.
5311,The four women are practicing for a upcoming match.
5321,man on steps
5331,There is a young girl.
5341,A woman paints a picture of a large building which can be seen in the background.
5351,Two kids are playing a game of Foosball.
5361,The man is in a deserted field.
5371,A little boy is drinking from a juice packet.
5381,A man has his skis ready for the field to get iced out
5391,The biker is doing dangerous stunts.
5401,A musician is smearing jam on his white guitar at a concert.
5411,A pair of young boys in t-shirts are hiding in the woods with one looking aghast.
5421,A group of people playing soccer on a soccer field in front of a crowd.
5431,A man is enjoying watching three asian children dance.
5441,A woman walking down the side of a highway.
5451,A man calling for a taxi at the airport on a sunny day.
5461,A young boy has a red fishing pole.
5471,A player bounces a ball.
5481,Men competing in a contest.
5491,The puppy is outdoor.
5501,A young girl in a pink jacket is playing a board game.
5511,A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.
5521,A person is scaling a rock wall.
5531,Two men are playing a game of Scrabble together.
5541,The girl is very skilled and practices a lot.
5551,Many guards are standing in front of the starting line of a race.
5561,A man at a farmers market.
5571,four people walk toward a tower
5581,A little girl and boy are reading books.
5591,The child would like to swim.
5601,Men are fighting after a basketball game.
5611,People are sitting around dimly lit tables while smiling and laughing.
5621,A dog is chasing cows.
5631,One football player tries to tackle a player on the opposing team.
5641,Three men are drying to pull a Subaru out of a ditch along a mountain road.
5651,A woman doesn't have her arms up because she's paralyzed from the neck down
5661,Five kids are standing in front of a tent.
5671,Female in a maroon shirt engaged in conversation with another female in a tan blazer.
5681,Baseball players playing a game at the park.
5691,They are preparing for a performance at school.
5701,Some smiling children are standing in front of an ocean sunset.
5711,Two fishermen try to untangle their large fishing net on the side of the road on a cloudy day.
5721,The woman had brown hair.
5731,Black and white image of a wave crashing in the ocean.
5741,A lady and her daughter look through a microscope.
5751,A boy does a skateboard trick on the stairs downtown.
5761,Three humans are walking a dog.
5771,There are people out on the street.
5781,Two women are lost and calling for help.
5791,A man is throwing a penny into a fountain.
5801,Two girls are playing Doctor inside their house.
5811,A crowd of men wearing paper numbers on their shirts run in a race.
5821,The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.
5831,A doctor prescribes medicine to a patient.
5841,A woman is in the bathroom.
5851,Spectators taking pictures of a rally car.
5861,The man and woman are resting on a couch.
5871,The boy in the green jersey plays goalie on the soccer team.
5881,People are near water
5891,Friends walk into a building
5901,The rollerblades are moving.
5911,There is a older man near a window.
5921,A guy and a girl are rock climbing with backpacks on.
5931,In Abu Dhabi the Golden Market is one of the premier public outdoor shopping areas.
5941,A pregnant woman is in labor
5951,The religious people are enjoying the outdoors.
5961,A girl in water without goggles or a swimming cap.
5971,A man is performing a stunt outdoors.
5981,There was girl stranded on the roof.
5991,There are four snowboarders going off a jump and that are in the air.
6001,"A basketball player makes the 5th rebound of the night,"
6011,A helicopter is getting ready to take off.
6021,A man doing a jumping bike trick surrounded by trees.
6031,Three guys in speedos have their feet up on the railing of a boat getting a tan.
6041,A group wading across a witch
6051,A woman jumps and poses for the camera.
6061,A man is on a rooftop
6071,There are two men near a wall.
6081,The two men are wearing jeans.
6091,The man without a shirt is jumping.
6101,The woman is holding the hands of the man.
6111,A man walks his dog on the beach.
6121,The child is the woman's kid.
6131,A soccer player is kicking the ball.
6141,Two boys in black swimming trunks are holding another boy by his arms and legs on a beach.
6151,The player shoots the winning points.
6161,A motorcross driver going by during a race
6171,The gate is blue.
6181,A dog walks along a beach with breaking waves.
6191,A pair of men walk along the beach.
6201,Blond woman in a tunnel.
6211,The raven droned as is hopped along the grass.
6221,the man is catching a ball
6231,Two men are sitting in the room.
6241,The woman is waiting for her date.
6251,You'll need to check the particular policies of each publisher to see what is allowed and what is not allowed.
6261,I am not aware of any university run participant pools.
6271,"Apart from admission (which normally should not be related to age), there is something that's related to your question."
6281,"This post refers to research in the STEM fields, and may not be applicable to other research topics."
6291,"If you don't want to pay for Adobe Acrobat Pro, as @schultem mentions, LaTeX can do this with embedded hyperlinks."
6301,I don't think there are likely to be any standards that address this issue specifically.
6311,My answer would be depending on which GRE are you referring to?
6321,"If you have access to it, you can very easily do that with Thomson Reuters’ Web of Science portal."
6331,In general there are a number of different distinct workflows that lead to a poster.
6341,It is perfectly okay to ask for the figure knowing well that the other person may not give.
6351,The academic year does start around September in the USA and I think most European countries.
6361,I will advise exactly the contrary of what bravo just said in another answer : go for A !
6371,"Edit, again: The question seems to have changed, yet again."
6381,"I agree with Seteropere completely, ""Network Science"" is a very broad subject."
6391,Supporting an ideology in an ostentatious manner (rather than privately or discreetly) is a personality problem.
6401,"This does not fully answer your question, but it is certainly one consideration."
6411,A few possible problems: 1) Such an ID system seems a little intrusive.
6421,"As an complement to the other answers, let me address the question of why planets tend towards tidal locking."
6431,"Stars are rotating, but that's not the cause for their stability."
6441,It indeed appears the Andromeda galaxy (M31) and The Milky Way (MW) are en route to a collision.
6451,"The short answer is: we are made from the ""stuff"" contributed by many stars."
6461,All we know is this : Distant objects are receding from us at a rate proportional to their distance from us.
6471,"Like Chris said above, stars rotate to conserve their angular momentum."
6481,According to this website the peak visible magnitude will be about 10.5 around February 2nd.
6491,All of these effects are related to the 11 year solar cycle.
6501,"We are moving ""... relative to the comoving cosmic rest frame ... at some 371 km/s towards the constellation Leo""."
6511,"Yes, it's true that the apparent size of the Moon is 30 arcmin."
6521,Let us assume the data for a globular cluster to be equivalent to that of M13.
6531,"Why is the speed of light 299,792,458 m/s, and not (for instance) 3,1 or 4,3 x 10^44 m/s?"
6541,"As per your definition, a star formed in a binary system (hence near some gravitating body) is a generalised planet."
6551,A method used to calculate the distance between stars is 3 Dimensional trigonometry.
6561,"The farther away, the faster the galaxies move away from us."
6571,"Stars form in star-formation regions, which itself develop from molecular clouds."
6581,"A black hole (briefly), is nothing more than a dead star whose mass was more than 3 solar masses."
6591,"Yes, but it does not stay in the same constellation."
6601,Asteroids are what are called minor planets - small inner solar system rocky bodies.
6611,Here is a lexical decision task I wrote years ago using PHP and Javascript (github link).
6621,It's pretty difficult to imagine a person with Social Anxiety Disorder being an extrovert.
6631,"It is hard to delineate emotion completely from thoughts or sensations, because emotion can contain both."
6641,I've found an additional concept that may be related to the original question: prototype theory.
6651,"There are individuals who possess extraordinary memory ability, sometimes called eidetic memory."
6661,"Spike trigger is a specific type or you could say a sub-set of reverse correlations, covariance and probabilities."
6671,"As mentioned in the other comments, ANOVA is problematic when mixing types of predictor variables."
6681,Q: What is the reason for people to implicitly trust their peers in extreme (or not) situations?
6691,Intrinsic reward is the emotional pay-off that you get by completing an activity.
6701,Presumably the decision of drivers to slow down in response to work zone signage is influenced by many factors.
6711,"When studying adult IQ, general adult norms are often used."
6721,"Some ancient historical precedent exists for preferring $10$, but also for $6$, so that's mixed support from Wikipedia on perfect numbers."
6731,"These are interesting studies, but the bottom line is: yes, environment affects cognitive abilities."
6741,"Since this is a relatively new problem for behavioral researchers, I don't know that there is a common consensus."
6751,"If non-human animals do have intelligence too, why is their intelligence not as advanced as humans?"
6761,The Hare Psychopathy Checklist is often used to assess psychopathy in clinical settings.
6771,"I wrap steaks individually in freezer paper, then put them into ziploc freezer bags."
6781,"In addition to oil, make sure the grill is nice and hot before you start cooking."
6791,The best way I have found is to soak the ears in husk for several hours before grilling.
6801,There are actually quite a few differences between the different types of flour.
6811,I've never adjusted the length of time based on number of eggs.
6821,I just hold the cheese closer to the edge away from the grater.
6831,I've stored pancakes in the freezer for over two month and not had any freezer burn.
6841,"Break the bulb into cloves, breaking off the bottom and the dry stick that goes up the middle."
6851,"I managed to find this recipe, I think this is where I got the idea."
6861,I  believe one cannot taste the difference between minced(canned) and fresh garlic once it is cooked.
6871,I grill salmon that I get with the skin on.
6881,"The recipe I work from has you put the meat in the freezer, then pan sear it."
6891,"They don't taste identical at all, and even more important, they don't smell the same."
6901,This depends on the shelf life of the cultivar of tomato you purchased.
6911,Coagulated egg proteins in combination with gluten give baked goods the supporting structure they need.
6921,A common one is haddock and is in season pretty much year round.
6931,Good cheddar has little chunks of calcium lactate on/in it - could it be that?
6941,"Copper can be useful for certain tasks due to the its metallic properties (heats quickly, distributes heat evenly, etc."
6951,"She obviously has a legit excuse, although she could have been more responsible and ""have"" told you in advance."
6961,In some cases the implication could even be that Tom does not love her.
6971,I agree with others (and yourself) in that I have never heard this phrase in English.
6981,"The assertion is false, at least as you've restated it here."
6991,I'd suggest you look to the constructions of the native language(s) of your students.
7001,"I see some references to status as uncountable as well, but that doesn't make much sense to me."
7011,"If I understand you correctly, you are looking for a hypernym of inclusion and exclusion."
7021,"Firstly, you should be aware that there are two different kinds of dashes: the en dash and the em dash."
7031,"Pardon the brevity of this answer, but I would say ""named"" is preferred within the context of your example."
7041,"In standard English, I think ""don't got"" has the same register as ""ain't""."
7051,"The ""more posh"" words are usually Latin (occasionally Greek) in origin."
7061,"I'm American, and I've never heard the bathroom referred to as St. John's."
7071,The room used for defecation is almost always referred to by euphemism.
7081,I can only think of context using insofar as or insofar that.
7091,"As others have said, ""ten of six"", though not used in many English speaking areas, would be understood as 5:50."
7101,"Certainly many usage guides have advised against use of this ""singular they"" on various ""logical"" grounds."
